,"joint","parent","category"
4,"jntDefLegFrRtUp1","jntDefSpine4","body"
5,"jntDefLegFrRtMd1","jntDefLegFrRtUp3","body"
6,"jntDefLegFrRtMd2","jntDefLegFrRtMd1","body"
7,"jntDefLegFrRtLo1","jntDefKneeFrRt1","body"
8,"jntDefLegFrRtLo2","jntDefLegFrRtLo1","body"
9,"jntDefAnkleFrRt1","jntDefLegFrRtLo3","body"
11,"jntDefLegFrLfUp1","jntDefSpine4","body"
12,"jntDefLegFrLfMd1","jntDefLegFrLfUp3","body"
13,"jntDefLegFrLfMd2","jntDefLegFrLfMd1","body"
14,"jntDefLegFrLfLo1","jntDefKneeFrLf1","body"
15,"jntDefLegFrLfLo2","jntDefLegFrLfLo1","body"
16,"jntDefAnkleFrLf1","jntDefLegFrLfLo3","body"
17,"jntDefLegBaRtMd1","jntDefLegBaRtUp3","body"
18,"jntDefLegBaRtMd2","jntDefLegBaRtMd1","body"
19,"jntDefLegBaRtLo1","jntDefLegBaRtMd3","body"
20,"jntDefLegBaRtLo2","jntDefLegBaRtLo1","body"
21,"jntDefAnkleBaRt1","jntDefLegBaRtLo3","body"
22,"jntDefTail1","jntDefPelvis1","body"
23,"jntDefTail3","jntDefTail2","body"
24,"jntDefLegBaLfMd1","jntDefLegBaLfUp3","body"
25,"jntDefLegBaLfMd2","jntDefLegBaLfMd1","body"
26,"jntDefLegBaLfLo1","jntDefLegBaLfMd3","body"
27,"jntDefLegBaLfLo2","jntDefLegBaLfLo1","body"
28,"jntDefAnkleBaLf1","jntDefLegBaLfLo3","body"
29,"jntDefLegBaLfLo3","jntDefLegBaLfLo2","body"
30,"jntDefLegBaRtLo3","jntDefLegBaRtLo2","body"
31,"jntDefLegFrLfLo3","jntDefLegFrLfLo2","body"
32,"jntDefLegFrLfMd3","jntDefLegFrLfMd2","body"
33,"jntDefLegFrLfUp3","jntDefLegFrLfUp2","body"
34,"jntDefLegFrRtLo3","jntDefLegFrRtLo2","body"
35,"jntDefLegFrRtMd3","jntDefLegFrRtMd2","body"
36,"jntDefLegFrRtUp3","jntDefLegFrRtUp2","body"
37,"jntDefTail4","jntDefTail3","body"
38,"jntDefTail5","jntDefTail4","body"
39,"jntDefTail6","jntDefTail5","body"
40,"jntDefTail7","jntDefTail6","body"
41,"jntDefTail8","jntDefTail7","body"
42,"jntDefTail9","jntDefTail8","body"
43,"jntDefTail10","jntDefTail9","body"
44,"jntDefTail11","jntDefTail10","body"
45,"jntDefLegFrLfOld3","jntDefLegFrLfOld2","body"
46,"jntDefLegFrLfOld2","jntDefAnkleFrLf1","body"
47,"jntDefLegFrRtOld3","jntDefLegFrRtOld2","body"
48,"jntDefLegFrRtOld2","jntDefAnkleFrRt1","body"
49,"jntDefKneeFrLf1","jntDefLegFrLfMd3","body"
50,"jntDefKneeFrRt1","jntDefLegFrRtMd3","body"
132,"jntDefLegFrLfUp2","jntDefLegFrLfUp1","body"
133,"jntDefLegFrRtUp2","jntDefLegFrRtUp1","body"
134,"jntDefToeBaLfB1","jntDefLegBaLfLo3","body"
135,"jntDefToeBaRtB1","jntDefLegBaRtLo3","body"
136,"jntDefToeFrLfB1","jntDefLegFrLfLo3","body"
137,"jntDefToeFrRtB1","jntDefLegFrRtLo3","body"
138,"jntDefToeBaLfA1","jntDefLegBaLfLo3","body"
139,"jntDefToeBaRtA1","jntDefLegBaRtLo3","body"
140,"jntDefToeFrLfA1","jntDefLegFrLfLo3","body"
141,"jntDefToeFrRtA1","jntDefLegFrRtLo3","body"
146,"jntDefTail2","jntDefTail1","body"
147,"jntDefPelvis1","jntDefSpine1","body"
148,"jntDefTailBase1","jntDefPelvis1","body"
149,"jntDefTailBase2","jntDefTailBase1","body"
150,"jntDefTail1","jntDefTailBase2","body"
152,"jntDefSpine1",,"body"
153,"jntDefSpine2","jntDefSpine1","body"
154,"jntDefSpine3","jntDefSpine2","body"
155,"jntDefSpine4","jntDefSpine3","body"
156,"jntDefNeck1","jntDefSpine4","body"
157,"jntDefNeck2","jntDefNeck1","body"
158,"jntDefNeck3","jntDefNeck2","body"
159,"jntDefHead1","jntDefNeck3","body"
211,"jntDefHipBaLf1","jntDefPelvis1","body"
212,"jntDefLegBaLfUp1","jntDefHipBaLf1","body"
213,"jntDefLegBaLfUp2","jntDefLegBaLfUp1","body"
217,"jntDefLegBaLfUp3","jntDefLegBaLfUp2","body"
218,"jntDefLegBaLfMd3","jntDefLegBaLfMd2","body"
221,"jntDefHipBaRt1","jntDefPelvis1","body"
222,"jntDefLegBaRtUp1","jntDefHipBaRt1","body"
223,"jntDefLegBaRtUp2","jntDefLegBaRtUp1","body"
227,"jntDefLegBaRtUp3","jntDefLegBaRtUp2","body"
228,"jntDefLegBaRtMd3","jntDefLegBaRtMd2","body"
229,"jntDefLatticeRigEyeLfBtIn","grpLatticeRigEyeLf","face"
230,"jntDefLatticeRigEyeLfBtCt","grpLatticeRigEyeLf","face"
231,"jntDefLatticeRigEyeLfBtOt","grpLatticeRigEyeLf","face"
232,"jntDefLatticeRigEyeLfMdIn","grpLatticeRigEyeLf","face"
233,"jntDefLatticeRigEyeLfMdCt","grpLatticeRigEyeLf","face"
234,"jntDefLatticeRigEyeLfMdOt","grpLatticeRigEyeLf","face"
235,"jntDefLatticeRigEyeLfTpIn","grpLatticeRigEyeLf","face"
236,"jntDefLatticeRigEyeLfTpCt","grpLatticeRigEyeLf","face"
237,"jntDefLatticeRigEyeLfTpOt","grpLatticeRigEyeLf","face"
238,"jntDefLatticeRigEyeRtBtIn","grpLatticeRigEyeRt","face"
239,"jntDefLatticeRigEyeRtBtCt","grpLatticeRigEyeRt","face"
240,"jntDefLatticeRigEyeRtBtOt","grpLatticeRigEyeRt","face"
241,"jntDefLatticeRigEyeRtMdIn","grpLatticeRigEyeRt","face"
242,"jntDefLatticeRigEyeRtMdCt","grpLatticeRigEyeRt","face"
243,"jntDefLatticeRigEyeRtMdOt","grpLatticeRigEyeRt","face"
244,"jntDefLatticeRigEyeRtTpIn","grpLatticeRigEyeRt","face"
245,"jntDefLatticeRigEyeRtTpCt","grpLatticeRigEyeRt","face"
246,"jntDefLatticeRigEyeRtTpOt","grpLatticeRigEyeRt","face"
